time,intensity
0.833,[2.85457582]
0.841,[2.25010439]
0.849,[1.342912]
0.857,[0.84917082]
0.865,[1.47325502]
0.8729999999999999,[2.84924259]
0.8809999999999999,[2.88290136]
0.8889999999999999,[2.05756906]
0.8969999999999999,[1.61990093]
0.9049999999999999,[1.00174314]
0.9129999999999999,[0.79498302]
0.9209999999999999,[1.49551896]
0.9289999999999999,[1.78858802]
0.9369999999999999,[1.12304842]
0.945,[0.75044079]
0.953,[0.41778168]
0.961,[-0.16071404]
0.969,[0.06579357]
0.977,[0.80355077]
0.985,[1.31258872]
0.9929999999999999,[1.49180047]
1.001,[1.30725935]
1.009,[1.34790248]
1.017,[1.4824857]
1.025,[2.46143333]
1.033,[2.61002364]
1.041,[1.95929987]
1.049,[1.6876863]
1.057,[1.40827131]
1.065,[2.00978592]
1.073,[2.98620869]
1.081,[4.90724614]
1.089,[8.75189348]
1.097,[10.62529561]
1.105,[9.0992497]
1.113,[6.06237021]
1.121,[3.62034985]
1.129,[1.43988836]
1.137,[0.85809341]
1.145,[2.30484741]
1.153,[5.07889416]
1.161,[15.58248563]
1.169,[23.98547382]
1.177,[33.56945517]
1.185,[46.15807619]
1.1929999999999998,[55.6044757]
1.2009999999999998,[60.8879496]
1.2089999999999999,[63.76528985]
1.2169999999999999,[65.56976668]
1.2249999999999999,[66.96218052]
1.2329999999999999,[67.83778934]
1.2409999999999999,[67.94673654]
1.2489999999999999,[67.58771175]
1.257,[67.09673184]
1.265,[66.51490777]
1.273,[65.79542886]
1.281,[64.97655765]
1.289,[64.03670581]
1.297,[63.61138476]
1.305,[64.44495021]
1.313,[65.65435895]
1.321,[66.57463746]
1.329,[69.24365597]
1.337,[74.2705196]
1.345,[78.74452199]
1.353,[81.88267964]
1.361,[83.7925993]
1.369,[84.80378382]
1.377,[85.18505529]
1.385,[84.84642047]
1.393,[83.95247929]
1.401,[82.97424493]
1.409,[81.6557975]
1.417,[80.17960087]
1.425,[78.77687702]
1.433,[77.04150512]
1.4409999999999998,[75.39336252]
1.4489999999999998,[73.73755531]
1.4569999999999999,[72.40095633]
1.4649999999999999,[73.15727199]
