time,intensity
44.586,[37.51888618]
44.594,[36.6823259]
44.602,[35.60195159]
44.61,[35.50348605]
44.618,[35.74589197]
44.626,[36.77797496]
44.634,[41.54082824]
44.642,[50.4471058]
44.65,[57.13784844]
44.658,[60.57175755]
44.666,[62.44826231]
44.674,[63.72794173]
44.682,[64.61531216]
44.69,[65.1826346]
44.698,[65.69862879]
44.706,[66.13358601]
44.714,[66.47821965]
44.722,[66.77930238]
44.73,[66.96285908]
44.738,[66.80305068]
44.746,[65.64349204]
44.754,[63.30709084]
44.762,[60.76903347]
44.77,[60.98577684]
44.778,[63.39172021]
44.786,[65.26271521]
44.794,[65.69974878]
44.802,[65.36159602]
44.81,[64.9956104]
44.818,[64.7130683]
44.826,[64.10464709]
44.834,[62.63913501]
44.842,[60.48095184]
44.85,[58.00891943]
44.858,[56.14221507]
44.866,[54.19727504]
44.874,[54.1505726]
44.882,[55.25697767]
44.89,[55.86088894]
44.898,[55.65968793]
44.906,[55.78482124]
44.914,[55.80048789]
44.922,[55.28766074]
44.93,[54.80712683]
44.938,[54.32334686]
44.946,[54.00553024]
44.954,[54.02452931]
44.962,[53.49919796]
44.97,[53.22213841]
44.978,[51.78522665]
44.986,[49.83887958]
44.994,[48.78312314]
45.002,[48.37022931]
45.01,[48.38927796]
45.018,[49.30325653]
45.026,[49.86973448]
45.034,[49.29839936]
45.042,[48.46709097]
45.05,[48.0477942]
45.058,[48.05838854]
45.066,[46.80381778]
45.074,[43.79011197]
45.082,[40.99519654]
45.089999999999996,[40.85002043]
45.098,[43.1092514]
45.106,[46.51337735]
45.114,[48.70088484]
45.122,[50.49734439]
45.13,[51.25414677]
45.138,[50.95032492]
45.146,[49.9525295]
45.153999999999996,[48.66205245]
45.162,[46.47658946]
45.17,[45.01707326]
45.178,[44.51012448]
45.186,[42.42595879]
45.194,[41.25254692]
45.202,[43.84535836]
45.21,[46.80773186]
45.217999999999996,[50.92383268]
45.226,[54.82866867]
45.234,[56.63657517]
45.242,[56.30633991]
45.25,[55.0000419]
45.258,[53.35687167]
45.266,[51.18986965]
45.274,[49.51392699]
45.282,[47.51185876]
45.29,[44.46597924]
45.298,[44.63128232]
45.306,[47.72852781]
45.314,[48.97308613]
45.322,[48.73375778]
45.33,[48.44678846]
45.338,[48.12165953]
45.346,[47.65742483]
45.354,[46.26542396]
45.362,[44.78013229]
45.37,[43.59629555]
45.378,[43.32851618]
45.386,[43.89344321]
45.394,[47.63345636]
45.402,[50.38153107]
45.41,[51.56464784]
45.418,[52.38823878]
45.426,[52.74557065]
45.434,[52.61518661]
45.442,[51.94698981]
45.45,[51.70322899]
45.458,[51.0446605]
45.466,[48.65190226]
45.474,[44.86521002]
45.482,[39.99535149]
45.49,[35.71154819]
45.498,[32.75649086]
45.506,[30.68043634]
45.514,[30.1953983]
45.522,[30.36273527]
45.53,[30.03071707]
45.538,[32.16314861]
45.546,[40.19814514]
45.554,[45.30708794]
45.562,[46.9932937]
45.57,[46.76912004]
45.578,[46.64832271]
45.586,[47.57869679]
45.594,[47.80891294]
45.602,[48.78391297]
45.61,[48.78075162]
45.618,[48.33257087]
45.626,[48.41826959]
45.634,[48.3368464]
45.642,[48.25842482]
45.65,[47.1095532]
45.658,[47.14775815]
45.666,[47.33896291]
45.674,[47.46087637]
45.682,[48.11700042]
45.69,[49.2834776]
45.698,[49.39438103]
45.706,[49.29559138]
45.714,[49.49023459]
45.722,[49.51185188]
45.73,[49.26364367]
45.738,[48.49018391]
45.746,[47.34054471]
45.754,[46.27583307]
45.762,[45.38712918]
45.77,[43.98774924]
45.778,[42.53155536]
45.786,[42.98327704]
45.794,[43.74176789]
45.802,[43.63965689]
45.81,[43.41851722]
45.818,[43.40837774]
45.826,[42.924693]
45.834,[41.78788844]
45.842,[42.46468161]
45.85,[45.36801631]
45.858,[47.13739632]
45.866,[48.12630689]
45.874,[49.05352259]
45.882,[50.17872563]
45.89,[50.8274188]
45.898,[52.371289]
45.906,[52.38967315]
45.914,[49.26886392]
45.922,[44.49800458]
45.93,[39.73608331]
45.938,[36.36566023]
45.946,[34.06099863]
45.954,[33.94176878]
45.962,[35.6589539]
45.97,[37.64811607]
45.978,[40.13107401]
45.986,[43.15958219]
45.994,[44.57398355]
46.002,[44.96172067]
46.01,[45.71607148]
46.018,[45.92775093]
46.026,[45.9191792]
46.034,[46.21271702]
46.042,[46.78886693]
46.05,[47.42346097]
46.058,[47.68154284]
46.066,[47.69882838]
46.074,[47.63637345]
46.082,[48.48610755]
46.09,[49.64588199]
46.098,[49.64838089]
46.106,[49.10170014]
46.114,[48.48618067]
46.122,[47.08889734]
46.13,[45.12799163]
46.138,[43.83553408]
46.146,[41.98477268]
46.153999999999996,[38.62479537]
46.162,[35.51845378]
46.17,[33.062395]
46.178,[29.84146788]
46.186,[26.89785026]
46.194,[24.60283855]
46.202,[25.57674705]
46.21,[32.72036364]
46.217999999999996,[40.26043231]
46.226,[44.23181106]
46.234,[45.68411444]
46.242,[47.79249999]
46.25,[50.5547235]
46.258,[51.49905473]
46.266,[51.45152816]
46.274,[50.51603296]
46.282,[47.6575758]
46.29,[44.92244328]
46.298,[42.68896031]
46.306,[40.30141281]
46.314,[39.96425678]
46.322,[46.38034936]
46.33,[53.85958884]
46.338,[57.36565583]
46.346,[57.98085681]
46.354,[58.49723514]
46.362,[58.9149579]
46.37,[57.80647354]
46.378,[55.44719926]
46.386,[53.14024279]
46.394,[50.89992199]
46.402,[49.85204957]
46.41,[50.24338788]
46.418,[50.11609877]
46.426,[49.22349544]
46.434,[48.4391167]
46.442,[48.20846314]
46.45,[48.92240722]
46.458,[49.18165583]
46.466,[47.12150658]
46.474,[42.90580481]
46.482,[41.33088877]
46.49,[46.0143733]
46.498,[52.52944348]
46.506,[57.40519877]
46.514,[59.85283047]
46.522,[61.02382053]
46.53,[62.06511476]
46.538,[62.79789314]
46.546,[63.26455081]
46.554,[64.16766459]
46.562,[65.41581305]
46.57,[66.39944214]
46.578,[66.92686857]
46.586,[67.3179263]
46.594,[67.75053372]
46.602,[67.67171733]
46.61,[66.75220337]
46.618,[66.03049907]
46.626,[65.9110649]
46.634,[65.54250306]
46.642,[64.91741432]
46.65,[64.8769551]
46.658,[65.38904483]
46.666,[65.72201102]
46.674,[65.76423516]
46.682,[66.03264644]
46.69,[66.12433143]
46.698,[65.81780352]
46.706,[65.67382942]
46.714,[65.41712195]
46.722,[64.70739577]
46.73,[63.5128012]
46.738,[61.15886367]
46.746,[57.48788275]
46.754,[54.50826949]
46.762,[53.21787138]
46.77,[52.31604374]
